order_number,customer_key,product_key,order_date,shipping_date,due_date,sales_amount,quantity,price
SO51477,1265,121,2013-01-15,2013-01-22,2013-01-27,29,1,29
SO51629,445,109,2013-01-24,2013-01-31,2013-02-05,35,1,35
SO51654,13434,121,2013-01-25,2013-02-01,2013-02-06,29,1,29
SO51883,4139,109,2013-01-28,2013-02-04,2013-02-09,35,1,35
SO51904,3205,109,2013-01-28,2013-02-04,2013-02-09,35,1,35
SO51906,12963,121,2013-01-28,2013-02-04,2013-02-09,29,1,29
SO51963,13064,109,2013-01-29,2013-02-05,2013-02-10,35,1,35
SO65981,8350,114,2013-09-08,2013-09-15,2013-09-20,30,1,30
SO66057,6779,199,2013-09-09,2013-09-16,2013-09-21,9,1,9
SO66079,14738,109,2013-09-10,2013-09-17,2013-09-22,35,1,35
SO66088,8571,121,2013-09-10,2013-09-17,2013-09-22,29,1,29
SO66121,12599,114,2013-09-10,2013-09-17,2013-09-22,30,1,30
SO66186,1883,109,2013-09-11,2013-09-18,2013-09-23,35,1,35
SO66196,15540,121,2013-09-11,2013-09-18,2013-09-23,29,1,29
SO68715,5109,130,2013-10-19,2013-10-26,2013-10-31,565,1,565
SO68734,18462,109,2013-10-19,2013-10-26,2013-10-31,35,1,35
SO68754,7885,114,2013-10-20,2013-10-27,2013-11-01,30,1,30
SO68771,17545,121,2013-10-20,2013-10-27,2013-11-01,29,1,29
SO68783,1616,109,2013-10-20,2013-10-27,2013-11-01,35,1,35
SO68949,429,121,2013-10-22,2013-10-29,2013-11-03,29,1,29
SO43765,11,10,2011-01-14,2011-01-21,2011-01-26,3400,1,3400
SO44847,446,10,2011-06-06,2011-06-13,2011-06-18,3400,1,3400
SO71660,1367,109,2013-11-27,2013-12-04,2013-12-09,35,1,35
SO71975,3788,121,2013-11-29,2013-12-06,2013-12-11,29,1,29
SO54508,13,109,2013-03-16,2013-03-23,2013-03-28,35,1,35
SO54572,2939,132,2013-03-17,2013-03-24,2013-03-29,769,1,769
SO54572,2939,114,2013-03-17,2013-03-24,2013-03-29,30,1,30
SO54583,13735,109,2013-03-17,2013-03-24,2013-03-29,35,1,35
SO54592,10407,109,2013-03-18,2013-03-25,2013-03-30,35,1,35
SO54614,8016,114,2013-03-18,2013-03-25,2013-03-30,30,1,30
SO54699,431,109,2013-03-19,2013-03-26,2013-03-31,35,1,35
SO63009,10222,114,2013-07-29,2013-08-05,2013-08-10,30,1,30
SO63081,7082,114,2013-07-30,2013-08-06,2013-08-11,30,1,30
SO63100,17494,121,2013-07-30,2013-08-06,2013-08-11,29,1,29
SO63107,14134,109,2013-07-30,2013-08-06,2013-08-11,35,1,35
SO63425,6248,132,2013-08-02,2013-08-09,2013-08-14,769,1,769
SO63432,783,109,2013-08-02,2013-08-09,2013-08-14,35,1,35
SO63437,12429,109,2013-08-02,2013-08-09,2013-08-14,35,1,35
SO63463,17711,121,2013-08-02,2013-08-09,2013-08-14,29,1,29
SO60263,9924,109,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60266,332,121,2013-06-16,2013-06-23,2013-06-28,29,1,29
SO60300,12398,109,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60310,9188,109,2013-06-16,2013-06-23,2013-06-28,35,1,35
SO60398,11760,114,2013-06-18,2013-06-25,2013-06-30,30,1,30
SO60421,781,109,2013-06-18,2013-06-25,2013-06-30,35,1,35
SO74334,646,109,2014-01-03,2014-01-10,2014-01-15,35,1,35
SO74367,8652,114,2014-01-05,2014-01-12,2014-01-17,30,1,30
SO74369,12531,109,2014-01-05,2014-01-12,2014-01-17,35,1,35
SO74476,8604,121,2014-01-08,2014-01-15,2014-01-20,29,1,29
SO74497,9939,114,2014-01-08,2014-01-15,2014-01-20,30,1,30
SO74500,8470,109,2014-01-08,2014-01-15,2014-01-20,35,1,35
SO74506,7467,114,2014-01-09,2014-01-16,2014-01-21,30,1,30
SO74506,7467,199,2014-01-09,2014-01-16,2014-01-21,9,1,9
SO74539,16058,121,2014-01-10,2014-01-17,2014-01-22,29,1,29
SO74566,11058,114,2014-01-11,2014-01-18,2014-01-23,30,1,30
SO74607,6211,109,2014-01-12,2014-01-19,2014-01-24,35,1,35
SO57488,6715,109,2013-05-05,2013-05-12,2013-05-17,35,1,35
SO57501,3605,199,2013-05-05,2013-05-12,2013-05-17,9,1,9
SO57514,2053,199,2013-05-05,2013-05-12,2013-05-17,9,1,9
SO57588,14151,109,2013-05-06,2013-05-13,2013-05-18,35,1,35
SO57700,6766,109,2013-05-09,2013-05-16,2013-05-21,35,1,35
SO57816,16941,109,2013-05-11,2013-05-18,2013-05-23,35,1,35
SO57878,1665,121,2013-05-12,2013-05-19,2013-05-24,29,1,29
SO57969,79,199,2013-05-14,2013-05-21,2013-05-26,9,1,9
SO69029,3773,114,2013-10-24,2013-10-31,2013-11-05,30,1,30
SO69088,28,121,2013-10-24,2013-10-31,2013-11-05,29,1,29
SO52075,16625,121,2013-02-01,2013-02-08,2013-02-13,29,1,29
SO52199,16324,121,2013-02-03,2013-02-10,2013-02-15,29,1,29
SO52217,6079,114,2013-02-04,2013-02-11,2013-02-16,30,1,30
SO52253,13551,114,2013-02-04,2013-02-11,2013-02-16,30,1,30
SO52293,8585,121,2013-02-05,2013-02-12,2013-02-17,29,1,29
SO66237,15406,121,2013-09-12,2013-09-19,2013-09-24,29,1,29
SO66290,10843,109,2013-09-13,2013-09-20,2013-09-25,35,1,35
SO66294,12446,121,2013-09-13,2013-09-20,2013-09-25,29,1,29
SO66315,7050,109,2013-09-13,2013-09-20,2013-09-25,35,1,35
SO66316,16892,109,2013-09-13,2013-09-20,2013-09-25,35,1,35
SO51506,617,121,2013-01-17,2013-01-24,2013-01-29,29,1,29
SO51526,11615,109,2013-01-18,2013-01-25,2013-01-30,35,1,35
SO51639,4631,114,2013-01-25,2013-02-01,2013-02-06,30,1,30
SO51905,12942,109,2013-01-28,2013-02-04,2013-02-09,35,1,35
SO43699,14864,10,2010-12-29,2011-01-05,2011-01-10,3400,1,3400
SO43934,35,10,2011-02-01,2011-02-08,2011-02-13,3400,1,3400
SO44037,14273,52,2011-02-21,2011-02-28,2011-03-05,699,1,699
SO51472,15655,154,2013-01-15,2013-01-22,2013-01-27,540,1,540
SO51472,15655,122,2013-01-15,2013-01-22,2013-01-27,21,1,21
SO51472,15655,112,2013-01-15,2013-01-22,2013-01-27,2,1,2
SO51488,9037,112,2013-01-16,2013-01-23,2013-01-28,2,1,2
SO51570,11460,154,2013-01-20,2013-01-27,2013-02-01,540,1,540
SO51647,145,141,2013-01-25,2013-02-01,2013-02-06,2295,1,2295
SO51654,13434,175,2013-01-25,2013-02-01,2013-02-06,2384,1,2384
SO51674,12598,115,2013-01-27,2013-02-03,2013-02-08,33,1,33
SO51674,12598,112,2013-01-27,2013-02-03,2013-02-08,2,1,2
SO51683,96,101,2013-01-27,2013-02-03,2013-02-08,10,1,10
SO51885,4641,112,2013-01-28,2013-02-04,2013-02-09,2,1,2
SO51887,531,186,2013-01-28,2013-02-04,2013-02-09,24,1,24
SO51889,16660,122,2013-01-28,2013-02-04,2013-02-09,21,1,21
SO51904,3205,115,2013-01-28,2013-02-04,2013-02-09,33,1,33
SO51921,5393,110,2013-01-28,2013-02-04,2013-02-09,35,1,35
SO51941,9538,101,2013-01-29,2013-02-05,2013-02-10,10,1,10
SO51965,7251,115,2013-01-30,2013-02-06,2013-02-11,33,1,33
SO65976,10490,112,2013-09-08,2013-09-15,2013-09-20,2,1,2
SO65981,8350,110,2013-09-08,2013-09-15,2013-09-20,35,1,35
SO65995,1601,101,2013-09-08,2013-09-15,2013-09-20,10,1,10
SO65995,1601,110,2013-09-08,2013-09-15,2013-09-20,35,1,35
SO66029,2035,186,2013-09-09,2013-09-16,2013-09-21,24,1,24
SO66033,18331,110,2013-09-09,2013-09-16,2013-09-21,35,1,35
SO66054,4942,112,2013-09-09,2013-09-16,2013-09-21,2,1,2
SO66077,3323,172,2013-09-09,2013-09-16,2013-09-21,742,1,742
SO66081,14270,122,2013-09-10,2013-09-17,2013-09-22,21,1,21
SO66081,14270,112,2013-09-10,2013-09-17,2013-09-22,2,1,2
SO66090,2822,112,2013-09-10,2013-09-17,2013-09-22,2,1,2
SO66098,18261,110,2013-09-10,2013-09-17,2013-09-22,35,1,35
SO66121,12599,112,2013-09-10,2013-09-17,2013-09-22,2,1,2
SO66137,3303,101,2013-09-10,2013-09-17,2013-09-22,10,1,10
SO66164,9741,110,2013-09-11,2013-09-18,2013-09-23,35,1,35
SO66166,10807,101,2013-09-11,2013-09-18,2013-09-23,10,1,10
SO66167,9288,186,2013-09-11,2013-09-18,2013-09-23,24,1,24
SO66186,1883,141,2013-09-11,2013-09-18,2013-09-23,2295,1,2295
SO66192,12662,186,2013-09-11,2013-09-18,2013-09-23,24,1,24
SO66196,15540,112,2013-09-11,2013-09-18,2013-09-23,2,1,2
SO66219,14351,112,2013-09-12,2013-09-19,2013-09-24,2,1,2
SO68713,2536,101,2013-10-19,2013-10-26,2013-10-31,10,1,10
SO68715,5109,101,2013-10-19,2013-10-26,2013-10-31,10,1,10
SO68734,18462,172,2013-10-19,2013-10-26,2013-10-31,742,1,742
SO68758,2202,101,2013-10-20,2013-10-27,2013-11-01,10,1,10
SO68766,4742,110,2013-10-20,2013-10-27,2013-11-01,35,1,35
SO68809,3239,110,2013-10-20,2013-10-27,2013-11-01,35,1,35
SO68859,5345,137,2013-10-21,2013-10-28,2013-11-02,2295,1,2295
SO68861,4577,137,2013-10-21,2013-10-28,2013-11-02,2295,1,2295
SO68877,14454,147,2013-10-21,2013-10-28,2013-11-02,1120,1,1120
SO68909,1183,101,2013-10-22,2013-10-29,2013-11-03,10,1,10
SO68931,4222,141,2013-10-22,2013-10-29,2013-11-03,2295,1,2295
SO68931,4222,184,2013-10-22,2013-10-29,2013-11-03,24,1,24
SO68949,429,112,2013-10-22,2013-10-29,2013-11-03,2,1,2
SO43967,17041,15,2011-02-08,2011-02-15,2011-02-20,3578,1,3578
SO43988,245,7,2011-02-12,2011-02-19,2011-02-24,3400,1,3400
SO44142,11059,15,2011-03-02,2011-03-09,2011-03-14,3578,1,3578
SO44229,14887,7,2011-03-21,2011-03-28,2011-04-02,3400,1,3400
SO44276,6278,15,2011-03-30,2011-04-06,2011-04-11,3578,1,3578
